"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-10",,,"38",",,7","23",",,7","25",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-11",,,"54",",,7","25",",,7","30",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-12",,,"55",",,7","28",",,7","29",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-13",,,"59",",,7","28",",,7","28",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-14",,,"53",",,7","27",",,7","29",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-15",,,"52",",,7","29",",,7","30",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-16",,,"55",",,7","30",",,7","37",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-17",,,"57",",,7","30",",,7","30",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-18",,,"55",",,7","30",",,7","33",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-19",,,"55",",,7","28",",,7","29",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-20",,,"51",",,7","27",",,7","31",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-21",,,"54",",,7","31",",,7","34",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-22",,,"55",",,7","34",",,7","38",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-23",,,"46",",,7","30",",,7","31",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-24",,,"49",",,7","30",",,7","31",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-25",,,"54",",,7","30",",,7","34",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-26",,,"60",",,7","29",",,7","32",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-27",,,"60",",,7","32",",,7","33",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-28",,,"63",",,7","33",",,7","36",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-02-29",,,"63",",,7","33",",,7","39",",,7,0800"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","37.5122","-119.6331","1538.3","2020-03-01",,,"55",",,7","29",",,7","30",",,7,0800"
